test,tot_cyc,tot_insn,iter
0,5049252574,9682002187,1000000
1,6706873483,12754000600,1000000
2,8125291715,15672000614,1000000
3,9559874982,18494000633,1000000
4,11029782550,21299000763,1000000
5,12609149321,24282000899,1000000
6,14115719045,27276000337,1000000
7,15659770417,30194000963,1000000
8,17286932979,32983000769,1000000
9,18865390261,35754000958,1000000
