test,tot_cyc,tot_insn,iter
0,4968704530,9669002187,1000000
1,6529681572,12765000590,1000000
2,8054228543,15683000681,1000000
3,9522595795,18472000751,1000000
4,10950860956,21266000314,1000000
5,12464832177,24337000162,1000000
6,14024695694,27287000912,1000000
7,15588131216,30172001183,1000000
8,17202764126,32906001269,1000000
9,18740662304,35853001350,1000000
