test,tot_cyc,tot_insn,iter
0,8566706359,19794002432,1000000
1,8444771148,19570000743,1000000
2,9202952703,19343000808,1000000
3,8486884673,19172000745,1000000
4,8191842391,18849000738,1000000
5,8270483898,18774000730,1000000
6,8090068506,18547000732,1000000
7,8014141215,18320000723,1000000
8,7950116396,18149000733,1000000
9,7862904074,17890000727,1000000
10,7924885711,17767000716,1000000
11,7850560725,17540000703,1000000
12,7701917348,17313000711,1000000
13,7642069415,17142000702,1000000
14,7493541598,16851000693,1000000
15,7468978298,16752000700,1000000
16,7409760680,16525000698,1000000
17,7347198196,16298000683,1000000
18,7299880130,16127000689,1000000
19,7155499448,15868000669,1000000
20,7108224951,15721000646,1000000
21,7030775676,15494000658,1000000
22,6963548261,15323000649,1000000
23,6879089141,14936000643,1000000
24,6886217428,14909000649,1000000
25,6810890765,14682000616,1000000
26,6687197189,14455000522,1000000
27,6630461757,14284000615,1000000
28,6528488319,14025000581,1000000
29,6509834000,13902000514,1000000
30,6515152068,13675000615,1000000
31,6321835507,13448000609,1000000
32,6268519659,13277000597,1000000
33,6167451654,12986000597,1000000
34,6239639635,12887000599,1000000
35,6048590870,12660000584,1000000
36,5973680596,12433000584,1000000
37,5916016129,12262000587,1000000
38,5890049853,12003000572,1000000
39,5787666254,11880000577,1000000
40,5705254660,11653000573,1000000
41,5628733154,11426000562,1000000
42,5604344969,11255000562,1000000
43,5453868442,10932000550,1000000
44,5432538441,10857000542,1000000
45,5360072705,10630000544,1000000
46,5304148094,10403000537,1000000
47,5177965610,10232000523,1000000
48,5075240885,9973000521,1000000
49,5018174521,9850000518,1000000
