test,tot_cyc,tot_insn,iter
0,8482729343,19781002429,1000000
1,9081604063,21573000770,1000000
2,9786301929,23334000806,1000000
3,12696151609,24891001051,1000000
4,13185652596,26556001063,1000000
5,13655317657,28009001127,1000000
6,14071447500,29378001137,1000000
7,14446337680,30719001157,1000000
8,14854646214,31888001215,1000000
9,15102160688,33085001223,1000000
10,15377126735,34118001254,1000000
11,15792783566,35123001244,1000000
12,15900187616,35860001308,1000000
13,16193693773,36817001328,1000000
14,16382480716,37514001347,1000000
15,16498632035,38127001329,1000000
16,16613601386,38712001349,1000000
17,16757382907,39125001320,1000000
18,16734972932,39590001326,1000000
19,16837581637,39867001318,1000000
20,16913646797,40060001294,1000000
21,16854059787,40225001331,1000000
22,16732350409,40186001314,1000000
23,16787999363,40255001327,1000000
24,16568247286,40112001306,1000000
25,17820002508,39885001390,1000000
26,16343467115,39630001061,1000000
27,16110049881,39203001211,1000000
28,15963518255,38828001282,1000000
29,15665776668,38265001257,1000000
30,15432332522,37618001241,1000000
31,15423454509,36943001312,1000000
32,14846159675,36032001224,1000000
33,16048241872,35285001251,1000000
34,14113809252,34302001159,1000000
35,13645568445,33235001133,1000000
36,13274829146,32140001101,1000000
37,12818862141,30873000593,1000000
38,12507766367,29658000759,1000000
39,12045846171,28255001002,1000000
40,11268620653,26768000986,1000000
41,10638296597,25253000835,1000000
42,10053236001,23534000800,1000000
43,9448042572,21923000840,1000000
44,8863145881,20100000820,1000000
45,8103208367,18193000756,1000000
46,7387863650,16258000691,1000000
47,6669956330,14151000318,1000000
48,6413881052,12072000626,1000000
49,6523957027,9829000617,1000000
