test,tot_cyc,tot_insn,iter
0,8479122513,19805002456,1000000
1,8510725018,19581000694,1000000
2,8326811299,19354000362,1000000
3,8265368162,19183000609,1000000
4,8209271916,18860000592,1000000
5,8140931609,18785000371,1000000
6,8076406262,18558000163,1000000
7,7967498951,18331000691,1000000
8,7948565574,18160000354,1000000
9,7896441236,17901000553,1000000
10,7785196513,17778000617,1000000
11,7713565192,17551000683,1000000
12,7612436580,17324000704,1000000
13,7690391967,17153000546,1000000
14,7445209428,16862000684,1000000
15,7426547567,16763000671,1000000
16,7346304417,16536000679,1000000
17,7268438207,16309000629,1000000
18,7253386515,16138000622,1000000
19,7163030544,15879000575,1000000
20,7061589546,15732000657,1000000
21,7029732872,15505000644,1000000
22,6947715198,15334000639,1000000
23,6797536377,14947000630,1000000
24,6789707102,14920000643,1000000
25,6753770410,14693000632,1000000
26,6744454308,14466000624,1000000
27,6572236215,14295000620,1000000
28,6487957161,14036000626,1000000
29,6531875453,13913000537,1000000
30,6436732214,13686000568,1000000
31,6362481158,13459000593,1000000
32,6312449623,13288000591,1000000
33,6264007433,12997000549,1000000
34,6085271174,12898000611,1000000
35,6070899704,12671000571,1000000
36,5965256411,12444000506,1000000
37,5914603124,12273000570,1000000
38,5789422532,12014000453,1000000
39,5751915510,11891000491,1000000
40,6470491354,11664000576,1000000
41,5608879765,11437000531,1000000
42,5571893889,11266000442,1000000
43,5456168563,10943000541,1000000
44,5459810951,10868000505,1000000
45,5322987710,10641000509,1000000
46,5822403906,10414000557,1000000
47,5802495461,10243000557,1000000
48,5051588105,9984000377,1000000
49,5029397957,9861000457,1000000
