test,tot_cyc,tot_insn,iter
0,9433811767,19794002534,1000000
1,8646645836,19570000768,1000000
2,9832090457,19343000765,1000000
3,8393562300,19172000403,1000000
4,8317020506,18849000646,1000000
5,8260230772,18774000514,1000000
6,8306907604,18547000636,1000000
7,8126034537,18320000696,1000000
8,8051655829,18149000473,1000000
9,7954685383,17890000663,1000000
10,7940660072,17767000668,1000000
11,7848925202,17540000667,1000000
12,7758532925,17313000657,1000000
13,7756581741,17142000676,1000000
14,7577368494,16851000657,1000000
15,7609746212,16752000690,1000000
16,7509386101,16525000648,1000000
17,7440262001,16298000575,1000000
18,7407502197,16127000571,1000000
19,7231776416,15868000569,1000000
20,7185535934,15721000665,1000000
21,7107556124,15494000663,1000000
22,7143243117,15323000636,1000000
23,8447118575,14936000770,1000000
24,6933603326,14909000569,1000000
25,6831516235,14682000638,1000000
26,6749703058,14455000553,1000000
27,6680240137,14284000647,1000000
28,6597903281,14025000611,1000000
29,6565852891,13902000625,1000000
30,6493989628,13675000611,1000000
31,6407766535,13448000635,1000000
32,6389460320,13277000621,1000000
33,6242131199,12986000579,1000000
34,6276822846,12887000598,1000000
35,6146076812,12660000583,1000000
36,6026611546,12433000581,1000000
37,6084586929,12262000591,1000000
38,5932645187,12003000396,1000000
39,5879570968,11880000519,1000000
40,5796064887,11653000545,1000000
41,5765758986,11426000552,1000000
42,5671495935,11255000539,1000000
43,5549907199,10932000545,1000000
44,5530646137,10857000522,1000000
45,5472585653,10630000450,1000000
46,5330391220,10403000537,1000000
47,5250833343,10232000533,1000000
48,5262122298,9973000535,1000000
49,5094768160,9850000522,1000000
