test,tot_cyc,tot_insn,iter
0,8517792752,19770002456,1000000
1,9123564515,21562000797,1000000
2,9715795032,23323000776,1000000
3,12754517373,24880000879,1000000
4,13252965515,26545001114,1000000
5,13684281859,27998001045,1000000
6,14111114753,29367001080,1000000
7,14557656430,30708001133,1000000
8,14830751812,31877001202,1000000
9,15443459623,33074001166,1000000
10,15559241244,34107001286,1000000
11,15879026171,35112001268,1000000
12,16011100766,35849001266,1000000
13,16184072278,36806001280,1000000
14,17952182672,37503001440,1000000
15,17886506636,38116001432,1000000
16,17249426559,38701001386,1000000
17,18104589377,39114001454,1000000
18,18200383137,39579001415,1000000
19,17073921413,39856001342,1000000
20,17058858780,40049001354,1000000
21,17379190310,40214001243,1000000
22,16767587675,40175001308,1000000
23,16754843948,40244001330,1000000
24,16856812807,40101001349,1000000
25,16745190968,39874001273,1000000
26,17780321891,39619001433,1000000
27,16193866155,39192001164,1000000
28,16044279203,38817001218,1000000
29,15743389370,38254001282,1000000
30,15513628156,37607001168,1000000
31,15172546071,36932001238,1000000
32,14814594075,36021001202,1000000
33,14505330330,35274001192,1000000
34,14140657895,34291001188,1000000
35,13747558533,33224001129,1000000
36,13327433420,32129001117,1000000
37,12853832079,30862001080,1000000
38,12388007797,29647001036,1000000
39,11854117852,28244001000,1000000
40,11295430936,26757000969,1000000
41,10813215876,25242000850,1000000
42,10150802659,23523000857,1000000
43,9633690190,21912000823,1000000
44,8811951465,20089000728,1000000
45,8116101173,18182000728,1000000
46,7413912516,16247000584,1000000
47,6683950369,14140000641,1000000
48,5841082671,12061000564,1000000
49,5046435244,9818000488,1000000
