test,tot_cyc,tot_insn,iter
0,8457029227,19759002460,1000000
1,10616947508,21551000842,1000000
2,9823675630,23312000626,1000000
3,12832050576,24869000919,1000000
4,13300796696,26534001029,1000000
5,13702173916,27987001102,1000000
6,14086173883,29356001148,1000000
7,14506661809,30697001207,1000000
8,14748099522,31866001196,1000000
9,15084748427,33063001218,1000000
10,15391221032,34096001241,1000000
11,15681819809,35101001259,1000000
12,15887811311,35838001258,1000000
13,16831188069,36795001491,1000000
14,17348399327,37492001926,1000000
15,17117703101,38105001892,1000000
16,16585340960,38690001344,1000000
17,16852217004,39103001380,1000000
18,16747529733,39568001348,1000000
19,16851227690,39845001220,1000000
20,16781120348,40038001342,1000000
21,17289550877,40203001074,1000000
22,16852324112,40164001263,1000000
23,16746731469,40233001259,1000000
24,16576841763,40090001216,1000000
25,16443598676,39863001316,1000000
26,16312932187,39608001317,1000000
27,16087432410,39181001304,1000000
28,16023106376,38806001297,1000000
29,16249351255,38243000984,1000000
30,17085825214,37596001294,1000000
31,15209321131,36921001205,1000000
32,14846692331,36010001182,1000000
33,14494407810,35263001193,1000000
34,14088411449,34280001178,1000000
35,13843077816,33213000906,1000000
36,13255892751,32118001102,1000000
37,12852971386,30851000963,1000000
38,12339058363,29636001043,1000000
39,11855915206,28233001008,1000000
40,11299026569,26746000970,1000000
41,10690308372,25231000936,1000000
42,10571519255,23512000612,1000000
43,9469441014,21901000788,1000000
44,8831160610,20078000791,1000000
45,8191034746,18171000197,1000000
46,7410464608,16236000688,1000000
47,6665488571,14129000642,1000000
48,5790375769,12050000573,1000000
49,4942418507,9807000489,1000000
