test,tot_cyc,tot_insn,iter
0,8519649392,19794002463,1000000
1,8442194496,19570000679,1000000
2,8359466541,19343000754,1000000
3,8307346514,19172000745,1000000
4,8229642021,18849000585,1000000
5,8181665216,18774000767,1000000
6,8160377915,18547000758,1000000
7,8124378293,18320000752,1000000
8,7948189904,18149000737,1000000
9,8930811291,17890000826,1000000
10,7818870667,17767000725,1000000
11,7881502412,17540000725,1000000
12,7698240764,17313000700,1000000
13,8569732487,17142000735,1000000
14,7511887437,16851000692,1000000
15,7479451211,16752000692,1000000
16,7428052838,16525000698,1000000
17,7461280460,16298000691,1000000
18,7337949091,16127000707,1000000
19,7177579713,15868000653,1000000
20,7183514940,15721000670,1000000
21,7098721920,15494000666,1000000
22,7052253831,15323000501,1000000
23,6850460661,14936000403,1000000
24,6843180583,14909000536,1000000
25,6773947271,14682000619,1000000
26,6686241717,14455000641,1000000
27,6614109906,14284000605,1000000
28,6549880647,14025000620,1000000
29,6552413826,13902000626,1000000
30,6482877996,13675000614,1000000
31,6334945548,13448000613,1000000
32,7354492749,13277000696,1000000
33,6191877785,12986000594,1000000
34,6143524547,12887000596,1000000
35,6116458172,12660000585,1000000
36,5982079775,12433000581,1000000
37,6572328866,12262000638,1000000
38,7398929568,12003000708,1000000
39,5795371603,11880000562,1000000
40,5831383330,11653000550,1000000
41,5644397277,11426000543,1000000
42,5562269359,11255000515,1000000
43,6336314230,10932000614,1000000
44,8288312677,10857000775,1000000
45,5821269566,10630000574,1000000
46,5286378939,10403000546,1000000
47,6746182667,10232000679,1000000
48,6642139915,9973000647,1000000
49,5040923729,9850000506,1000000
